Educ,YEAR,Age_grp,w.obs,obs,lnWealth.mean,lnWealth.sd,lnNrmWealth.mean,lnNrmWealth.sd,lnPermIncome.mean,lnPermIncome.sd,BASE_YR
NoHS,2019,"(40,45]",1107738.7862312796,234,3.178201894634081,2.0314684281509274,-0.4905190869357807,1.664612120616437,3.668720981569862,0.6959202573595418,2019
NoHS,2019,"(45,50]",912538.7202946113,185,3.180383065655618,2.2877385533313537,-0.39461852519760415,2.1634130049244176,3.5750015908532222,0.8440586074035187,2019
NoHS,2019,"(50,55]",983379.917424651,242,3.527551040892224,2.3921489888807925,-0.23292409844069478,1.9539556460733556,3.760475139332919,0.8275710965507098,2019
NoHS,2019,"(55,60]",1048246.6718477737,217,2.4271107020892,2.9444876017825226,-0.9551557912569837,2.770934968561909,3.382266493346184,0.8115906143797392,2019
NoHS,2019,"(60,65]",1256080.6649892929,232,3.142024752713201,2.9211718621115432,-0.06872994542051783,2.5752980163430714,3.2107546981337185,0.824051732713225,2019
NoHS,2019,"(65,70]",1073084.8665872975,195,2.3483396954371285,2.926481505619226,-0.7721224901422759,2.665558910990481,3.120462185579404,0.6970880919119433,2019
NoHS,2019,"(70,75]",1016993.1011699715,170,3.725539525016382,2.32987627819591,0.4609131486795914,1.9879210690143307,3.2646263763367904,0.8856151621624992,2019
NoHS,2019,"(75,80]",926378.7900077197,125,3.9125491642560992,2.6014209998370355,0.5572254053939256,2.2283004306746554,3.355323758862174,0.7045289820101651,2019
NoHS,2019,"(80,85]",658781.9197805442,90,4.269584236150654,2.2431682056313225,0.9862876098157037,2.008673149659707,3.2832966263349506,0.7415636727744017,2019
NoHS,2019,"(85,90]",312934.764797368,45,5.257092447498834,1.0440628912492296,1.7790754206249773,0.6692416705921591,3.478017026873857,0.659285221816188,2019
NoHS,2019,"(90,95]",249572.0522264276,35,3.682516897957741,2.2033246868755114,0.7427468472119035,2.3380711763941084,2.9397700507458375,0.7379509453918546,2019
HS,1995,"(15,20]",405183.5703401125,75,2.859571606932016,1.836589737565397,-0.20520913582411343,1.4910185922287067,3.0647807427561293,0.8114027334120305,2019
HS,1995,"(20,25]",2555574.4007469327,505,2.4849646190152206,1.6501248505994308,-0.928110551297082,1.6577133299830675,3.4130751703123026,0.758541123818503,2019
HS,1995,"(25,30]",5146765.834334132,934,3.169225746374017,1.7018859530272386,-0.6571578485781245,1.5692258955944034,3.8263835949521416,0.7037562019456977,2019
HS,1995,"(30,35]",5700289.71157986,1002,3.8432604804890977,1.571389774234591,-0.15985246696914068,1.3843620891544413,4.003112947458238,0.7391146839172384,2019
HS,1995,"(35,40]",6670937.230763864,1196,4.05362957869699,1.7343553789838577,-0.038876235905746986,1.4942466093160063,4.092505814602736,0.7330511192474614,2019
HS,1995,"(40,45]",6143890.78860177,1114,4.446753053263139,1.6693631538884524,0.3557921679019954,1.4766974805854558,4.090960885361143,0.7024019702389268,2019
HS,1995,"(45,50]",5078280.595978454,998,4.637033068456556,1.5072330280450872,0.47361643504149215,1.2616955980261404,4.163416633415064,0.7332456038197355,2019
HS,1995,"(50,55]",3348521.7536329385,765,5.086038365244813,1.637648640626091,0.8733463308450268,1.2913487253263598,4.212692034399787,0.8148364468831031,2019
HS,1995,"(55,60]",3223373.495898321,686,5.237296793076909,1.4178787058365192,1.1240593401658816,1.1942574099490597,4.113237452911027,0.775270531907679,2019
HS,1995,"(60,65]",3375535.2402021773,707,5.3604107177169595,1.4739076718396644,1.5617928205234146,1.1681053591808288,3.7986178971935454,0.8865789351983844,2019
HS,1995,"(65,70]",2903451.0549710765,601,4.545910252060911,1.9932229650821816,0.9733199448085134,1.5635449385091356,3.5725903072523977,0.8238632220196852,2019
HS,1995,"(70,75]",2604192.2251031925,495,5.124745053865986,1.6488375204790073,1.8329926767774192,1.5928972946152535,3.291752377088567,1.0682296105997862,2019
HS,1995,"(75,80]",2186845.192441866,377,5.17144869326467,1.3055268116828473,1.8197460345949805,1.1697917814210943,3.35170265866969,0.7317376133238971,2019
HS,1995,"(80,85]",819584.5100006588,147,5.113810963369001,1.326383032358816,1.7378254405989557,1.1998959261766964,3.375985522770046,0.7899001615293035,2019
HS,1995,"(85,90]",242682.28680042375,61,5.28660301812982,1.1024276460769444,1.8873084815857513,1.1075655323490528,3.3992945365440685,0.7189479362726613,2019
HS,1995,"(90,95]",67759.95158456007,20,2.259620544772633,2.9630048309424017,-1.0659692907188254,2.860327545423603,3.325589835491458,0.49466796173723415,2019
HS,1998,"(15,20]",936456.4833376225,201,2.5835512862413923,1.872695252175503,-0.06950945483533402,2.101042728226923,2.653060741076726,0.9450986469017553,2019
HS,1998,"(20,25]",2229923.624394285,414,2.414855086826344,1.6652918035819628,-1.0393118005149133,1.486328736616409,3.4541668873412577,0.7270980872168943,2019
HS,1998,"(25,30]",4127608.3891252037,657,3.266307012755161,1.7268575444223353,-0.5517087940222286,1.624376424595003,3.8180158067773897,0.7565018080278514,2019
HS,1998,"(30,35]",4772145.970456369,775,3.718777661621057,1.8577185709267743,-0.2926931090690302,1.72624555206265,4.011470770690087,0.9441076433580677,2019
HS,1998,"(35,40]",6610482.029726269,1116,4.217415125871855,1.7705481124668594,0.05806707463232016,1.5059603410073843,4.159348051239535,0.652393104527096,2019
HS,1998,"(40,45]",7281530.992119054,1235,4.505837492847353,1.6975190852276016,0.30897584948355544,1.4296130564323049,4.196861643363797,0.6484515864574064,2019
